"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","2.2u","Capacitor_SMD:C_0805_2012Metric",""
"2","C2","1","10n","Capacitor_SMD:C_0805_2012Metric",""
"3","C3","1","100n","Capacitor_SMD:C_0805_2012Metric",""
"4","D1","1","LED_Dual_AAK","LED_THT:LED_D5.0mm-3",""
"5","D3","1","1N4148WS","Diode_SMD:D_SOD-323",""
"6","FB1, FB2","2","FerriteBead_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"7","J1","1","Raspberry_Pi_2_3","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical",""
"8","J2","1","640445-4","TE-Connector:CONN4_640445-4_TEC",""
"9","J3","1","Conn_01x02_Pin","WeidmullerScrewTerminal:1x2ScrewTerminal",""
"10","Q1","1","IRLTS2242","Package_SO:TSOP-6_1.65x3.05mm_P0.95mm",""
"11","Q2","1","BC857","Package_TO_SOT_SMD:SOT-23",""
"12","Q3, Q4, Q5","3","BC847","Package_TO_SOT_SMD:SOT-23",""
"13","R1","1","1K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"14","R2, R6, R9","3","2K2","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"15","R3, R4, R7, R14","4","10K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"16","R5","1","1M","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"17","R8","1","470R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"18","R10, R11","2","220R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"19","R12, R13","2","100R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"20","SW1","1","SW_MEC_5E","Button_Switch_THT:Push_E-Switch_KS01Q01",""
"21","U1","1","MAX31855KASA","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
